"Precio"
"97.98"
"103.35"
"100.77"
"97.76"
"97.91"
"96.99"
"99.67"
"99.24"
"98.15"
"93.87"
"88.49"
"89.41"
"88.31"
"90.82"
"91.40"
"93.89"
"95.09"
"97.01"
"93.32"
"89.51"
"84.13"
"72.51"
"63.48"
"50.18"
"40.45"
"45.99"
"46.02"
"49.33"
"52.04"
"52.83"
"45.17"
"38.42"
"36.29"
"34.86"
"32.51"
"26.20"
"23.10"
"23.73"
"28.33"
"31.34"
"36.73"
"39.81"
"37.97"
"37.74"
"36.83"
"40.67"
"38.36"
"42.33"
"44.50"
"44.17"
"41.93"
"43.22"
"43.85"
"41.15"
"43.88"
"45.55"
"48.16"
"48.89"
"53.35"
"54.06"
"57.45"
"56.16"
"57.22"
"58.16"
"62.90"
"64.64"
"66.42"
"64.27"
"68.36"
"71.15"
"59.83"
"51.87"
"54.06"
"57.38"
"59.46"
"62.08"
"60.34"
"56.91"
"57.88"
"49.58"
"55.06"
"51.00"
"50.69"
"54.55"
"49.79"
"44.64"
"28.92"
